hav.yr	plot	Snr	d	h	lc	year	h.d
2011	3	11	0.2395	15.61	8.51	2019	NA
2011	3	12	0.241	18.09	9.19	2019	NA
2013	2	1	0.1645	17.1	6.3	2019	NA
2013	2	2	0.225	18.7	6.5	2019	NA
2013	2	3	0.226	18.2	9.3	2019	NA
2013	2	4	0.221	15.4	7.8	2019	NA
2013	2	5	0.2265	19.1	8.1	2019	NA
2013	2	6	0.235	20.5	10.4	2019	NA
2013	2	7	0.237	20.5	10.3	2019	NA
2013	2	8	0.187	18.7	8.9	2019	NA
2013	2	9	0.1945	17.3	6.5	2019	NA
2013	2	10	0.1915	17.1	9.3	2019	NA
2013	2	11	0.1945	17	7.5	2019	NA
2013	3	1	0.212	18.7	10.4	2019	NA
2013	3	2	0.251	18.7	10.1	2019	NA
2013	3	3	0.2065	19.3	10.7	2019	NA
2013	3	4	0.189	18.5	12	2019	NA
2013	3	5	0.1925	18.5	10.1	2019	NA
2013	3	6	0.2565	16.7	12.6	2019	NA
2013	3	7	0.205	15.5	10.3	2019	NA
2013	3	8	0.12	18.2	12.4	2019	NA
2013	3	9	0.211	17.3	12.3	2019	NA
2013	3	10	0.1745	16.8	8.2	2019	NA
2013	3	11	0.205	19.1	10	2019	NA
2013	3	12	0.1865	17.4	6.9	2019	NA
2013	3	13	0.2025	19.4	7.8	2019	NA
2018	2	1	0.1775	16.92	9.41	2019	NA
2018	2	2	0.1495	15.6	6.28	2019	NA
2018	2	3	0.2725	19.87	10.89	2019	NA
2018	2	4	0.205	18.2	6.97	2019	NA
2018	2	5	0.242	20.72	8.18	2019	NA
2018	2	6	0.1205	15.7	5.69	2019	NA
2018	3	7	0.1775	17.03	6.88	2019	NA
2018	3	8	0.264	19.41	8.99	2019	NA
2018	3	9	0.1195	14.48	6.88	2019	NA
2018	3	10	0.2345	21.36	10.74	2019	NA
2018	3	11	0.1525	16.68	7.29	2019	NA
2018	3	12	0.1825	16.58	7.15	2019	NA
2022	2	1	0.2575	17.65	8.05	2019	0.19
2022	2	2	0.1965	16.69	7.21	2019	0.38
2022	2	3	0.153	16.88	6.18	2019	0.3
2022	2	4	0.093	13.37	3.72	2019	0.08
2022	2	5	0.2105	18.73	7.28	2019	0.36
2022	2	6	0.35	23.3	9.5	2019	0.19
2022	2	7	0.28	21.7	8.55	2019	0.27
2022	3	8	0.2205	22	9.6	2019	0.23
2022	3	9	0.2825	21.42	14.05	2019	0.15
2022	3	10	0.1275	15.6	4.15	2019	0.16
2022	3	11	0.087	12.16	2.86	2019	0.07
2022	3	12	0.147	15.4	5.05	2019	0.15
2022	3	13	0.246	18.94	7.92	2019	0.1
2022	3	14	0.193	17.4	9.3	2019	0.16
2011	2	1	0.1335	16.18	7.93	2020	NA
2011	2	2	0.1435	15.01	7.05	2020	NA
2011	2	3	0.181	16.63	7.88	2020	NA
2011	2	4	0.1845	16.03	11.34	2020	NA
2011	2	5	0.2395	17.36	11.98	2020	NA
2011	2	6	0.234	15.76	7.31	2020	NA
2011	3	7	0.1405	13.93	6.75	2020	NA
2011	3	8	0.1405	17.01	6.96	2020	NA
2011	3	9	0.18	15.48	7	2020	NA
2011	3	10	0.179	14.69	11.24	2020	NA
2011	3	11	0.2395	15.61	8.51	2020	NA
2011	3	12	0.241	18.09	9.19	2020	NA
2013	2	1	0.1645	17.1	6.3	2020	NA
2013	2	2	0.225	18.7	6.5	2020	NA
2013	2	3	0.226	18.2	9.3	2020	NA
2013	2	4	0.221	15.4	7.8	2020	NA
2013	2	5	0.2265	19.1	8.1	2020	NA
2013	2	6	0.235	20.5	10.4	2020	NA
2013	2	7	0.237	20.5	10.3	2020	NA
2013	2	8	0.187	18.7	8.9	2020	NA
2013	2	9	0.1945	17.3	6.5	2020	NA
2013	2	10	0.1915	17.1	9.3	2020	NA
2013	2	11	0.1945	17	7.5	2020	NA
2013	3	1	0.212	18.7	10.4	2020	NA
2013	3	2	0.251	18.7	10.1	2020	NA
2013	3	3	0.2065	19.3	10.7	2020	NA
2013	3	4	0.189	18.5	12	2020	NA
2013	3	5	0.1925	18.5	10.1	2020	NA
2013	3	6	0.2565	16.7	12.6	2020	NA
2013	3	7	0.205	15.5	10.3	2020	NA
2013	3	8	0.12	18.2	12.4	2020	NA
2013	3	9	0.211	17.3	12.3	2020	NA
2013	3	10	0.1745	16.8	8.2	2020	NA
2013	3	11	0.205	19.1	10	2020	NA
2013	3	12	0.1865	17.4	6.9	2020	NA
2013	3	13	0.2025	19.4	7.8	2020	NA
2018	2	1	0.1775	16.92	9.41	2020	NA
2018	2	2	0.1495	15.6	6.28	2020	NA
2018	2	3	0.2725	19.87	10.89	2020	NA
2018	2	4	0.205	18.2	6.97	2020	NA
2018	2	5	0.242	20.72	8.18	2020	NA
2018	2	6	0.1205	15.7	5.69	2020	NA
2018	3	7	0.1775	17.03	6.88	2020	NA
2018	3	8	0.264	19.41	8.99	2020	NA
2018	3	9	0.1195	14.48	6.88	2020	NA
2018	3	10	0.2345	21.36	10.74	2020	NA
2018	3	11	0.1525	16.68	7.29	2020	NA
2018	3	12	0.1825	16.58	7.15	2020	NA
2022	2	1	0.2575	17.65	8.05	2020	0.21
2022	2	2	0.1965	16.69	7.21	2020	0.29
2022	2	3	0.153	16.88	6.18	2020	0.32
2022	2	4	0.093	13.37	3.72	2020	0.13
2022	2	5	0.2105	18.73	7.28	2020	0.31
2022	2	6	0.35	23.3	9.5	2020	0.07
2022	2	7	0.28	21.7	8.55	2020	0.22
2022	3	8	0.2205	22	9.6	2020	0.2
2022	3	9	0.2825	21.42	14.05	2020	0.17
2022	3	10	0.1275	15.6	4.15	2020	0.15
2022	3	11	0.087	12.16	2.86	2020	0.06
2022	3	12	0.147	15.4	5.05	2020	0.15
2022	3	13	0.246	18.94	7.92	2020	0.11
2022	3	14	0.193	17.4	9.3	2020	0.16
2011	2	1	0.1335	16.18	7.93	2021	NA
2011	2	2	0.1435	15.01	7.05	2021	NA
2011	2	3	0.181	16.63	7.88	2021	NA
2011	2	4	0.1845	16.03	11.34	2021	NA
2011	2	5	0.2395	17.36	11.98	2021	NA
2011	2	6	0.234	15.76	7.31	2021	NA
2011	3	7	0.1405	13.93	6.75	2021	NA
2011	3	8	0.1405	17.01	6.96	2021	NA
2011	3	9	0.18	15.48	7	2021	NA
2011	3	10	0.179	14.69	11.24	2021	NA
2011	3	11	0.2395	15.61	8.51	2021	NA
2011	3	12	0.241	18.09	9.19	2021	NA
2013	2	1	0.1645	17.1	6.3	2021	NA
2013	2	2	0.225	18.7	6.5	2021	NA
2013	2	3	0.226	18.2	9.3	2021	NA
2013	2	4	0.221	15.4	7.8	2021	NA
2013	2	5	0.2265	19.1	8.1	2021	NA
2013	2	6	0.235	20.5	10.4	2021	NA
2013	2	7	0.237	20.5	10.3	2021	NA
2013	2	8	0.187	18.7	8.9	2021	NA
2013	2	9	0.1945	17.3	6.5	2021	NA
2013	2	10	0.1915	17.1	9.3	2021	NA
2013	2	11	0.1945	17	7.5	2021	NA
2013	3	1	0.212	18.7	10.4	2021	NA
2013	3	2	0.251	18.7	10.1	2021	NA
2013	3	3	0.2065	19.3	10.7	2021	NA
2013	3	4	0.189	18.5	12	2021	NA
2013	3	5	0.1925	18.5	10.1	2021	NA
2013	3	6	0.2565	16.7	12.6	2021	NA
2013	3	7	0.205	15.5	10.3	2021	NA
2013	3	8	0.12	18.2	12.4	2021	NA
2013	3	9	0.211	17.3	12.3	2021	NA
2013	3	10	0.1745	16.8	8.2	2021	NA
2013	3	11	0.205	19.1	10	2021	NA
2013	3	12	0.1865	17.4	6.9	2021	NA
2013	3	13	0.2025	19.4	7.8	2021	NA
2018	2	1	0.1775	16.92	9.41	2021	NA
2018	2	2	0.1495	15.6	6.28	2021	NA
2018	2	3	0.2725	19.87	10.89	2021	NA
2018	2	4	0.205	18.2	6.97	2021	NA
2018	2	5	0.242	20.72	8.18	2021	NA
2018	2	6	0.1205	15.7	5.69	2021	NA
2018	3	7	0.1775	17.03	6.88	2021	NA
2018	3	8	0.264	19.41	8.99	2021	NA
2018	3	9	0.1195	14.48	6.88	2021	NA
2018	3	10	0.2345	21.36	10.74	2021	NA
2018	3	11	0.1525	16.68	7.29	2021	NA
2018	3	12	0.1825	16.58	7.15	2021	NA
2022	2	1	0.2575	17.65	8.05	2021	0.2
2022	2	2	0.1965	16.69	7.21	2021	0.31
2022	2	3	0.153	16.88	6.18	2021	0.38
2022	2	4	0.093	13.37	3.72	2021	0.12
2022	2	5	0.2105	18.73	7.28	2021	0.36
2022	2	6	0.35	23.3	9.5	2021	0.18
2022	2	7	0.28	21.7	8.55	2021	0.24
2022	3	8	0.2205	22	9.6	2021	0.22
2022	3	9	0.2825	21.42	14.05	2021	0.15
2022	3	10	0.1275	15.6	4.15	2021	0.14
2022	3	11	0.087	12.16	2.86	2021	0.05
2022	3	12	0.147	15.4	5.05	2021	0.18
2022	3	13	0.246	18.94	7.92	2021	0.15
2022	3	14	0.193	17.4	9.3	2021	0.18
2011	2	1	0.1335	16.18	7.93	2022	NA
2011	2	2	0.1435	15.01	7.05	2022	NA
2011	2	3	0.181	16.63	7.88	2022	NA
2011	2	4	0.1845	16.03	11.34	2022	NA
2011	2	5	0.2395	17.36	11.98	2022	NA
2011	2	6	0.234	15.76	7.31	2022	NA
2011	3	7	0.1405	13.93	6.75	2022	NA
2011	3	8	0.1405	17.01	6.96	2022	NA
2011	3	9	0.18	15.48	7	2022	NA
2011	3	10	0.179	14.69	11.24	2022	NA
2011	3	11	0.2395	15.61	8.51	2022	NA
2011	3	12	0.241	18.09	9.19	2022	NA
2013	2	1	0.1645	17.1	6.3	2022	NA
2013	2	2	0.225	18.7	6.5	2022	NA
2013	2	3	0.226	18.2	9.3	2022	NA
2013	2	4	0.221	15.4	7.8	2022	NA
2013	2	5	0.2265	19.1	8.1	2022	NA
2013	2	6	0.235	20.5	10.4	2022	NA
2013	2	7	0.237	20.5	10.3	2022	NA
2013	2	8	0.187	18.7	8.9	2022	NA
2013	2	9	0.1945	17.3	6.5	2022	NA
2013	2	10	0.1915	17.1	9.3	2022	NA
2013	2	11	0.1945	17	7.5	2022	NA
2013	3	1	0.212	18.7	10.4	2022	NA
2013	3	2	0.251	18.7	10.1	2022	NA
2013	3	3	0.2065	19.3	10.7	2022	NA
2013	3	4	0.189	18.5	12	2022	NA
2013	3	5	0.1925	18.5	10.1	2022	NA
2013	3	6	0.2565	16.7	12.6	2022	NA
2013	3	7	0.205	15.5	10.3	2022	NA
2013	3	8	0.12	18.2	12.4	2022	NA
2013	3	9	0.211	17.3	12.3	2022	NA
2013	3	10	0.1745	16.8	8.2	2022	NA
2013	3	11	0.205	19.1	10	2022	NA
2013	3	12	0.1865	17.4	6.9	2022	NA
2013	3	13	0.2025	19.4	7.8	2022	NA
2018	2	1	0.1775	16.92	9.41	2022	NA
2018	2	2	0.1495	15.6	6.28	2022	NA
2018	2	3	0.2725	19.87	10.89	2022	NA
2018	2	4	0.205	18.2	6.97	2022	NA
2018	2	5	0.242	20.72	8.18	2022	NA
2018	2	6	0.1205	15.7	5.69	2022	NA
2018	3	7	0.1775	17.03	6.88	2022	NA
2018	3	8	0.264	19.41	8.99	2022	NA
2018	3	9	0.1195	14.48	6.88	2022	NA
2018	3	10	0.2345	21.36	10.74	2022	NA
2018	3	11	0.1525	16.68	7.29	2022	NA
2018	3	12	0.1825	16.58	7.15	2022	NA
2022	2	1	0.2575	17.65	8.05	2022	0.27
2022	2	2	0.1965	16.69	7.21	2022	0.43
2022	2	3	0.153	16.88	6.18	2022	0.39
2022	2	4	0.093	13.37	3.72	2022	0.19
2022	2	5	0.2105	18.73	7.28	2022	0.42
2022	2	6	0.35	23.3	9.5	2022	0.4
2022	2	7	0.28	21.7	8.55	2022	0.37
2022	3	8	0.2205	22	9.6	2022	0.33
2022	3	9	0.2825	21.42	14.05	2022	0.21
2022	3	10	0.1275	15.6	4.15	2022	0.13
2022	3	11	0.087	12.16	2.86	2022	0.08
2022	3	12	0.147	15.4	5.05	2022	0.21
2022	3	13	0.246	18.94	7.92	2022	0.23
2022	3	14	0.193	17.4	9.3	2022	0.26
