plot	rep	year	nr	h	lc	d
2	1	2009	1	13.6	5.3	0.1305
2	1	2010	1	13.9	5.2	0.1335
2	1	2005	2	14.9	7.9	0.216
2	1	2007	2	15.3	8.3	0.216
2	1	2011	2	16.4	9.9	0.2335
2	1	2012	2	17.1	9.7	0.2355
2	1	2013	2	17.4	10	0.2375
2	1	2014	2	17.8	9.7	0.2425
2	1	2016	2	18.8	10.5	0.2495
2	1	2018	2	18.9	9.8	0.256
2	1	2005	4	13.4	5.4	0.131
2	1	2007	4	13.6	4.9	0.134
2	1	2008	4	14.2	5.5	0.135
2	1	2009	4	14.3	5.6	0.1385
2	1	2010	4	14.8	6.1	0.143
2	1	2011	4	14.8	6.1	0.1465
2	1	2012	4	15.3	6.6	0.1475
2	1	2013	4	15.8	7.1	0.151
2	1	2014	4	15.9	7.2	0.1545
2	1	2015	4	16.1	7	0.1575
2	1	2016	4	16.3	6.9	0.16
2	1	2018	4	16.8	7.4	0.163
2	1	2005	11	15.2	6.4	0.144
2	1	2007	11	15.6	6.8	0.149
2	1	2008	11	15.9	7.1	0.1535
2	1	2009	11	16.2	7.4	0.1605
2	1	2010	11	16.7	7.9	0.1665
2	1	2011	11	16.7	7.9	0.172
2	1	2012	11	17.1	7.8	0.1755
2	1	2013	11	17.6	8.3	0.18
2	1	2014	11	17.8	8.5	0.1835
2	1	2015	11	18.4	8	0.1885
2	1	2016	11	18.6	8.2	0.1925
2	1	2018	11	19	8.6	0.2005
2	1	2005	16	16.2	7.5	0.2185
2	1	2007	16	16.5	7.8	0.2255
2	1	2008	16	17	8.2	0.2275
2	1	2014	16	17.9	8.1	0.258
2	1	2015	16	18.5	8	0.263
2	1	2016	16	18.7	8.2	0.268
2	1	2018	16	19.1	8.1	0.271
2	1	2018	18	19.3	9	0.2385
2	1	2005	20	14.4	7.4	0.164
2	1	2007	20	14.8	7.8	0.1705
2	1	2008	20	15.3	7.9	0.174
2	1	2009	20	15.5	8.1	0.1805
2	1	2010	20	16.1	8.3	0.1875
2	1	2011	20	16.1	8.2	0.194
2	1	2012	20	16.3	7.7	0.196
2	1	2013	20	16.9	8	0.1995
2	1	2014	20	16.9	8	0.2035
2	1	2015	20	17.2	8	0.2055
2	1	2016	20	17.4	8.2	0.2085
2	1	2011	22	15.8	7.5	0.182
2	1	2012	22	17	8.3	0.1845
2	1	2013	22	17.2	8.5	0.1905
2	1	2014	22	17.4	8.7	0.196
2	1	2015	22	17.9	9.2	0.2025
2	1	2016	22	17.9	9.2	0.206
2	1	2005	27	14	4.7	0.1265
2	1	2007	27	14.3	5	0.126
2	1	2008	27	14.8	4.4	0.126
2	1	2009	27	15	4.6	0.129
2	1	2010	27	15.6	5.2	0.1325
2	1	2011	27	15.8	5.4	0.1365
2	1	2012	27	16.5	6.1	0.137
2	1	2013	27	17.1	6.7	0.1375
2	1	2014	27	17.4	5.2	0.1395
2	1	2015	27	18.1	5.7	0.142
2	1	2016	27	18.4	6	0.144
2	1	2018	27	19.1	6.1	0.1475
2	1	2005	28	14.8	7.9	0.2095
2	1	2007	28	14.9	8	0.2155
2	1	2008	28	15.5	8.6	0.2165
2	1	2009	28	15.9	9	0.2215
2	1	2010	28	16.1	8.6	0.2255
2	1	2013	28	17.3	9.9	0.233
2	1	2005	36	15.5	8.2	0.208
2	1	2007	36	15.8	8.5	0.211
2	1	2008	36	16.4	9.1	0.2165
2	1	2011	36	16.8	8.8	0.2285
2	1	2012	36	17.5	9.3	0.2315
2	1	2014	36	18	8.1	0.2395
2	1	2015	36	18.4	8.5	0.2435
2	1	2016	36	18.4	8.5	0.245
2	1	2009	38	15	8.7	0.24
2	1	2010	38	15.6	9	0.245
2	1	2011	38	15.6	9	0.2495
2	1	2012	38	15.9	7.6	0.2525
2	1	2013	38	16.2	7.9	0.255
2	1	2005	44	15.6	6.8	0.177
2	1	2007	44	15.8	6.2	0.1815
2	1	2008	44	16.2	6.6	0.185
2	1	2009	44	16.3	6.7	0.189
2	1	2010	44	16.8	6.9	0.1975
2	1	2011	44	16.8	6.9	0.2045
2	1	2012	44	17.6	7.7	0.2085
2	1	2013	44	17.8	7.9	0.215
2	1	2014	44	18	8.1	0.222
2	1	2015	44	18.6	8.7	0.2265
2	1	2016	44	18.6	8.7	0.2305
2	1	2018	44	19.3	8.9	0.2395
2	1	2018	46	18.7	9.3	0.1965
2	1	2005	48	15.8	7.5	0.243
2	1	2007	48	15.9	7.6	0.2495
2	1	2008	48	16.2	7.9	0.2515
2	1	2009	48	16.4	8.1	0.258
2	1	2010	48	16.5	8.2	0.265
2	1	2011	48	16.9	8.6	0.272
2	1	2012	48	17.1	8.4	0.2745
2	1	2013	48	17.5	8.8	0.278
2	1	2014	48	17.6	8.9	0.2815
2	1	2015	48	18.6	9.9	0.2865
2	1	2016	48	18.6	9.9	0.288
2	1	2018	48	18.9	9.9	0.295
2	1	2008	50	15.4	5.9	0.1545
2	1	2009	50	15.6	6.1	0.1575
2	1	2010	50	15.8	6.3	0.1645
2	1	2014	50	17	6.7	0.179
2	1	2015	50	17.9	7.6	0.1825
2	1	2016	50	17.9	7.6	0.1855
2	1	2018	50	18.7	8.4	0.191
